# Systemd units DEPLOYED on this installation. Hard Floor 5 asks whether the repository alone
# could rebuild this host; a unit that exists here and is rendered from nothing tracked is a
# direct answer of "no", and until this file existed nothing enumerated one.
#
# This is the REVERSE of bootstrap/check-unit-drift.sh. That script loops over tracked templates
# and asks "is every tracked unit deployed and identical?". It never enumerates what is deployed,
# so a unit with no template is invisible to it -- which is how an armed root timer firing every
# ten minutes stayed unnamed while the enumeration reported itself complete.
#
# unit<TAB>manager<TAB>state<TAB>exec<TAB>disposition<TAB>note
#
# manager  system = /etc/systemd/system, user = $HOME/.config/systemd/user. The distribution's
#          own /lib/systemd/system is out of scope, exactly as /usr is for the sweep.
# state    armed     a .wants/.requires symlink arms it, or an armed timer/socket/path activates
#                    it. This is the reboot-surviving reading and the one Hard Floor 5 asks
#                    about -- NOT `systemctl is-active`, which says nothing about a rebuilt host.
#          installed the unit file is deployed but nothing arms it.
# exec     the ExecStart program, with an interpreter wrapper resolved through to the script it
#          runs. `-` for a unit with no ExecStart of its own (every timer). $INSTALL_ROOT and
#          $XDG_CACHE_HOME are resolved at check time; `*` matches one path segment.
# disposition rebuildable | unresolved | orphan | off-scope
#          rebuildable a tracked template under bootstrap/units or instance/units renders it,
#                      and tools/check-host-state.ts --units VERIFIES that template exists.
#          unresolved  deployed here and reproduced by nothing tracked. Reported on every run
#                      until the operator decides; the decision is not this file's to make.
#          off-scope   belongs to the v2 PRODUCT, not to this control plane (same boundary as
#                      the /var/lib/agentic-bpa exclusion, instance/params.yaml phase).
orch-fleet-nudge.timer	system	armed	-	rebuildable	bootstrap/units/orch-fleet-nudge.timer.in. FINDING F16 -- CLOSED 2026-08-05. This row read `unresolved` and called itself the sharpest live Hard Floor 5 breach on this host: armed, root, ten-minutely, rendered from nothing tracked. V3-2.11 landed the script and V3-2.12 landed this template, and the deployed unit was verified against them. What HR-309.md:66 claimed prematurely is now true.
orch-fleet-nudge.service	system	armed	$INSTALL_ROOT/orchestrator/fleet/fleet-nudge.sh	rebuildable	bootstrap/units/orch-fleet-nudge.service.in. FINDING F16 -- CLOSED 2026-08-05. Its ExecStart moved off the untracked /root/.local/bin/orch-fleet-nudge.sh and onto the tracked orchestrator/fleet/fleet-nudge.sh; the old script is still on disk, unrun, and now carries `orphan` in instance/host-state.tsv. Still `static`, so systemctl is-enabled calls it neither enabled nor disabled -- it is armed because an enabled timer activates it, which is why this file derives armed from the unit graph rather than from is-enabled.
orch-fleet-nudge-liveness.timer	system	armed	-	rebuildable	bootstrap/units/orch-fleet-nudge-liveness.timer.in. New 2026-08-05, deployed and armed by V3-2.11 after this manifest was written; --units reported it UNLISTED, which is the reverse-enumeration check doing exactly the job F16 proved was missing.
orch-fleet-nudge-liveness.service	system	armed	$INSTALL_ROOT/orchestrator/fleet/fleet-nudge-liveness.sh	rebuildable	bootstrap/units/orch-fleet-nudge-liveness.service.in. New 2026-08-05. Watches that the nudge timer itself is still firing -- the thing that notices the stall detector stalling. Tracked script, tracked template, armed via its timer.
bpa-db-network-boundary.service	system	armed	$XDG_CACHE_HOME/infra-lanes/database-loopback-boundary-r5-1581/orchestrator/fleet/db-network-boundary.sh	unresolved	FINDING F17: enabled, and its ExecStart points into a LANE WORKTREE that no longer exists. It is Type=oneshot RemainAfterExit=yes and last succeeded 2026-08-03 11:03:30, so it reads `active` while being unable to run: the boundary is installed in the running kernel and would NOT be reapplied on reboot. It is ordered Before= the orchestrator and telegram daemon. A network boundary for the payload database is a security control, and the only copy of its implementation went away with a reaped worktree.
orch-morning-report.timer	system	armed	-	rebuildable	bootstrap/units/orch-morning-report.timer.in. The tracked counter-example that makes F16 undeniable: two timers side by side, both armed, one rendered from the repository and one from nothing.
orch-morning-report.service	system	armed	$INSTALL_ROOT/orchestrator/morning.sh	rebuildable	bootstrap/units/orch-morning-report.service.in. Armed via its timer. NOTE, sharpened 2026-08-05 with the reason: `systemctl is-active` reports it `failed`, and --units now names why -- its ExecStart target $INSTALL_ROOT/orchestrator/morning.sh does not exist, on the host OR in this repository at any commit on the v3 line. So an armed root timer points at a script that was never landed here. `rebuildable` still holds and is deliberately unchanged: the disposition claims a tracked template renders the UNIT, which it does. It has never claimed the unit works. Out of scope for this row, which enumerates rather than repairs -- but a rebuild reproduces this exactly, armed and broken, which is why it is stated rather than left to `is-active`.
bpa-telegram-daemon.service	system	armed	/usr/local/bin/bun	rebuildable	bootstrap/units/bpa-telegram-daemon.service.in. The exec is the pinned interpreter; what it runs is `server.ts` relative to WorkingDirectory, which the template sets from the install root.
bpa-orchestrator.service	system	installed	$INSTALL_ROOT/orchestrator/launch.sh	rebuildable	bootstrap/units/bpa-orchestrator.service.in. Deployed and disabled: the orchestrator is launched by hand on this host, not by systemd.
bpa-full-suite.service	system	installed	$INSTALL_ROOT/orchestrator/full-suite.sh	rebuildable	bootstrap/units/bpa-full-suite.service.in. `static`, and its timer is disabled, so nothing arms it.
bpa-full-suite.timer	system	installed	-	rebuildable	bootstrap/units/bpa-full-suite.timer.in. Deployed and disabled. This is the timer instance/host-state.md's honest-limits section means when it says no bpa timer is armed to run the sweep automatically.
