branch	tip_sha	last_commit	subject
ag-ancestry-gate-r4-1581	50f4b34cf5ee2f942066a1c89295661f5bb797f3	2026-08-03	[CODER] record ancestry gate r4 evidence correction
ag-archive-recovery	17d0f88c1d20a3509a11cc4582aed7208a4d1219	2026-08-01	[CODER] Document safe Telegram archive recovery
ag-audit-hr1275-ci-parity	a277787a41b4336d1317cbc32b7250e97949eb87	2026-08-02	[REVIEW] audit HR-1275 CI landing parity
ag-audit-hr1275-clone	8b076f9f64d53cf8bfdecc86405269e36beb33bf	2026-08-02	[REVIEW] audit HR-1275 clean-clone boundary
ag-audit-hr1275-external-network	f7da47ee5d5dd70172fc3888287c1b868efc6d4d	2026-08-02	[REVIEW] audit external-network leakage in tests
ag-audit-hr1275-false-green	0eb220b4d25fa37ecee21280ae2fd60be6f1b820	2026-08-02	[REVIEW] reject mandatory verify false green
ag-audit-hr1275-inventory	8456bb50a924bc9188192bb1fc982478462b67b3	2026-08-02	[REVIEW] inventory tracked HR-1275 verification surfaces
ag-audit-hr1275-isolation-r2	0b930d2511406dd2b1e64bf3a71563c2b8cbb489	2026-08-02	[REVIEW] audit HR-1275 test isolation topology
ag-audit-hr1275-landing-rollback	b628dc99e8c718fc08536f4203b579cfa4cc2f3e	2026-08-02	[REVIEW] reject landing rollback boundary
ag-audit-hr1275-launcher-red	40afaa4b5f9398e0ef26f730eccb60c9119f165a	2026-08-02	[REVIEW] audit launcher regression fail-before evidence
ag-audit-hr1275-shell	522f6aa0667804a57e24e5742a327016ae2d43c7	2026-08-02	[REVIEW] audit HR-1275 shell discovery
ag-audit-hr1275-suite-manifest	b4ad79ba7d6681dfa585c30abf9367b522df2b8a	2026-08-02	[REVIEW] audit HR-1275 suite manifest contract
ag-audit-hr1275-suite-runtime	96459b773a1d92d48b4d49c5c09258276fa8d188	2026-08-02	[REVIEW] audit HR-1275 suite runtime partitions
ag-audit-hr1295-arch	a915240aefa1e2829200a727a18e84735afde016	2026-08-02	[REVIEW] audit HR-1295 recovery architecture
ag-audit-hr1295-budget	24e0636a1ee4938e44837bfb7edf59a47be669e0	2026-08-02	[REVIEW] define HR-1295 restart context budget
ag-audit-hr1295-command-boundary	49b762b06edf1fb0c8bf54c35d959edb2b3c4c7f	2026-08-02	[REVIEW] audit Telegram restart command boundary
ag-audit-hr1295-envelope-cursor	0a8d196f9be54447e0b1e11b39d76b042145376a	2026-08-02	[REVIEW] design HR-1295 recovery envelope cursor
ag-audit-hr1295-fence	d3f6ecb8deeb22a0779890e3d0648093deb8143a	2026-08-02	[REVIEW] audit HR-1295 stale provider fencing
ag-audit-hr1295-generation-fence	e200a1fe1eb10481896f912fbcb02121b2a8df73	2026-08-02	[REVIEW] define HR-1295 generation fence contract
ag-audit-hr1295-legacy	8627380d995ef92fe23c0745de479d6cf0baf2da	2026-08-02	[REVIEW] inventory HR-1295 legacy restart parity
ag-audit-hr1295-provider-symmetry	5ba6a5e1617216892b04f7e1c2e468f693db8859	2026-08-02	[REVIEW] reject provider-asymmetric fresh restart
ag-audit-hr1295-state-db-path	aaacb822359ad211d296f5f2985796e13a4fe2a3	2026-08-02	[REVIEW] audit canonical durable state DB path
ag-branch-hygiene-audit	1787a67d8c03c8c6dc500da220ff29628f1ad453	2026-08-01	[CODER] audit branch and worktree hygiene
ag-capture-telegram-report-format	5abd296458882eb879520c62fe95403aefd007f3	2026-08-01	[ORCH] capture incremental Telegram report format
ag-checkpoint-baseline-interface-probe-1581	a5a51f84342801aa71505bc239e47d1fee6b0fc7	2026-08-03	[REVIEW] inventory checkpoint baseline interfaces
ag-checkpoint-design-r10-recut-1581	de8c2dfdb67db707aa3d01bd19dc08804e11f50a	2026-08-03	[CODER] record checkpoint design recut NO-GO
ag-checkpoint-manual-orchestration-1577	5523ef87eed4583eb6395b4ec82154f4f9d3b17c	2026-08-03	[CODER] record manual orchestration checkpoint
ag-checkpoint-reconciliation-design-r6-1581	0f8fcaa6ccf493db761bdde84f174b42f437f086	2026-08-03	[CODER] correct checkpoint restore architecture r6
ag-checkpoint-reconciliation-design-r8-recut-1581	e2c47d9117dc05a30fbac218f179ca802baa25cf	2026-08-03	[CODER] record checkpoint design r8 NO-GO
ag-codex-appserver-design-r4-1544	365662471449ff70646348e3b878be4a5ca81a6a	2026-08-02	[REVIEW] close app-server ordering and rollback authority
ag-codex-appserver-foundation-r1-1533	a8b58cd9e91f040274bd1e5efb07e5085ddd06cd	2026-08-02	[REVIEW] design authenticated Codex app-server provenance
ag-codex-appserver-generator-image-1544	cd6747eada81917d52c21ea8f70adf3146ccb8ee	2026-08-02	[REVIEW] propose Codex fixture generator image
ag-codex-appserver-pin-1544	cc1f5ad27b13bdeb3aa18daa3d6c220625adfcc9	2026-08-02	[REVIEW] record approved Codex app-server pin
ag-codex-appserver-tcb-probe-1533	389973b1eb541897002263e8a8186c094ebb7bda	2026-08-02	[REVIEW] Probe Codex app-server protocol and stdio TCB
ag-codex-launcher	173c124c492239b209a7aa32f50accab501a7760	2026-07-31	[CODER] harden Codex lane security boundaries
ag-daemon-control-aggregate-repair-r12-1581	ddbe2632ba9ac11eb91a9ef976ca023985409223	2026-08-03	[CODER] isolate daemon control aggregate fixtures
ag-daemon-control-r12-terminal-evidence-1581	d392e669d07acb2d9fb49028c2af0de92317aaaa	2026-08-03	[CODER] record daemon control terminal evidence
ag-daemon-control-r13-owned-scratch-1581	d7b4f170c5574cbb6fcafb189cd08483b7c66154	2026-08-03	[CODER] correct owned scratch evidence SHA
ag-daemon-media-aggregate-r13-causal-locks-1581	3eecae27aa8b0cff87eed45afae972621af9f6ea	2026-08-03	[CODER] lock media fixture causal boundaries
ag-daemon-media-aggregate-repair-r12-1581	5085afb44bf01f2e068236faec7036f42abff565	2026-08-03	[CODER] repair daemon media aggregate fixture
ag-daemon-media-r14-readiness-rework-1581	786f4885dcab7cab4b93e103d9c544f05c6db83d	2026-08-03	[CODER] make media readiness observation independent
ag-daemon-media-r15-deps-verify-1581	f976fd9fa0f0ed0da1660ce791ac41115d85e911	2026-08-03	[CODER] record media readiness terminal verification
ag-daemon-media-r16-deps-1581	147bde109006efeb33546d140ccb0ef26646010c	2026-08-03	[CODER] record independent readiness causal evidence
ag-daily-consilium-sprint-1500	c347e68402da4c576b258457a9346000fffb19d1	2026-08-02	[CODER] Add daily consilium sprint loop
ag-daily-sprint-close-r4-1581	3d3729a5ff2591d155a9933d023b4f3f4754a631	2026-08-03	[CODER] reject contradictory sprint verification claims
ag-daily-sprint-close-r4-terminal-1581	e86be47e56a2839b7a93fcd4e6b9848e1ae2b326	2026-08-03	[CODER] retain sprint-close candidate evidence
ag-daily-sprint-close-r5-evidence-1581	56e83f9aad4de36c47698e7db0eb4e1ccbdd426a	2026-08-03	[CODER] retain sprint-close correction evidence
ag-daily-sprint-close-r6-evidence-rework-1581	e74de004a2dd90e1498a1a080c6cc0ccec5b2eb5	2026-08-03	[CODER] report sprint-close r6 verification
ag-daily-sprint-close-r7b-impl-1581	eb01f3564b7bb05dfa9421763427dddcc674e132	2026-08-03	[CODER] retain exact-SHA suite evidence report
ag-daily-sprint-close-r8-impl-1581	dfe9330ceb5a832e1cc6dc94810691a19f34d941	2026-08-03	[CODER] report full-suite evidence binding
ag-database-internal-net-r3-1533	d78a63ddee39c5dca5a8e2957ddb089166419817	2026-08-02	[CODER] Make database fixture cleanup reproducible
ag-database-internal-r4-1542	1b7f696221d7279f81da60559c53be87ec1dda72	2026-08-02	[CODER] Record database reaper r4 evidence
ag-database-loopback-boundary-r5-1581	ca12f0cd084d1cf2cbec0e7a9c65197ef4aa4369	2026-08-03	[CODER] record database mediation blocker
ag-database-loopback-fixture-r1-1561	3e6a0097870af1fb2ed82a3fa93af100d1bb76aa	2026-08-02	[CODER] correct database loopback fixture boundary
ag-database-loopback-r2-1565	510b9f0fad7be2e78430c9e467860d6e2297f141	2026-08-02	[CODER] fence database fixture collision cleanup
ag-database-mediated-app-path-r6-1581	7f0eed2f7dbf09918bec045ce36f0e348f935265	2026-08-03	[CODER] record database mediation evidence
ag-database-readiness-timeout-r2-1581	c07b7894cbe222cfcc7ae2139b3fc890e22f80fc	2026-08-03	[CODER] retain database readiness R2 evidence
ag-diag-buildkit-gate-baseline-1572	c16f6ce0700a2b2d98a920bf01654d956a85f7d6	2026-08-03	[REVIEW] diagnose BuildKit gate baseline timeout
ag-diag-codex-provenance-1533	df73cf4f295c38c1ecaff5f5b63866b44dce6f16	2026-08-02	[REVIEW] diagnose Codex control provenance
